,,BCQ,BCQ,CQL,CQL,IQL,IQL,BC,BC
167,8350,-72.8412627411343,-23.7269784384507,-40.2843741092732,-18.7329218340903,-51.6110473787309,-65.9407330071551,-58.4850335862326,-50.4909426043738
168,8400,-23.0840686063098,-36.3348753342547,-15.8013376555317,-48.9442058986051,-59.7394081752028,-68.6402304113525,-42.8897172327663,-54.5172724860294
169,8450,-94.395152097397,-23.3229463789066,-17.8096633299005,-16.061773817655,-64.888307562484,-69.5092174041331,-113.529457433843,-51.4811027330926
170,8500,-68.0133108871418,-19.0181767885934,-15.2064670879457,-24.9627394370972,-61.0853536930751,-72.316935181586,-120.173307830731,-43.0686710310953
171,8550,-36.8342742914647,-36.5353104191967,-19.178981187206,-15.6766495193938,-61.3115195093132,-64.5519636031378,-94.1927203507722,-38.1780483517612
172,8600,-44.1308647306119,-32.0651544825256,-17.9877831811124,-35.6715206826818,-58.119083847372,-69.6113684988602,-127.868254386044,-55.2919089184198
173,8650,-41.0865853313866,-37.1002885579844,-15.8482364004846,-32.4517640545096,-62.983756377518,-61.3521551501302,-62.1867675159505,-49.9564010347581
174,8700,-44.3670783509492,-23.6869860948347,-18.3813030569894,-32.9174144083753,-40.7131475364877,-66.7231912868096,-99.9009045238914,-46.8525112976513
175,8750,-31.6120283337355,-38.1599432580853,-18.167144527728,-21.617134558726,-59.3882956900105,-68.6782680785071,-57.0630556924116,-49.0847414969857
176,8800,-29.472664569481,-21.6418299778427,-16.8483980870416,-47.6507804152794,-60.9761595503159,-66.6682082599406,-42.0282073576244,-38.2348082730593
177,8850,-30.0711452349826,-27.5177433812182,-17.1509381026034,-15.3972234536117,-65.3779042201772,-65.2936432788592,-125.089130352736,-49.9798011073847
178,8900,-66.5028027294905,-27.6456598617702,-22.9642920740701,-16.4572052986838,-61.4198658132931,-59.7934810978542,-84.475856224013,-50.4935574277917
179,8950,-85.7496054444406,-42.3949834515875,-17.8205242115034,-15.8554398357736,-65.3837231557454,-67.2693087786708,-120.269290345775,-50.1788841758117
180,9000,-43.2650372641493,-26.8919638182121,-20.1785984118124,-27.5417203175162,-56.2096412227255,-70.3191073051413,-62.6105236870495,-50.8814851501777
181,9050,-42.0098017855816,-42.9462438604394,-15.8257899233914,-41.7643758674741,-58.29146506498,-39.2053618713203,-106.105476949528,-44.2461045156984
